Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,26000011271,184500.00,CINTAS CORP NO 2,Cooperative Agreement,Admin Contract / Citywide Cooperative / OMNIA- PWCPS Contract # R-BB-19002,"Supplies, Non Technology",08/01/2024 12:00:00 AM,10/31/2027 12:00:00 AM
Public Works,09195-1,35808500.00,CENTRAL VIRGINIA WASTE MANAGEMENT AUTHORITY,Cooperative Agreement,Service Agreement / Non Professional Services / Department of Public Works / Curb side recycling / Initial term of Seven (7) years with One (1) - Seven (7) year renewal.,"Non Professional Services, Non Technology",07/01/2009 12:00:00 AM,06/30/2033 12:00:00 AM
Public Works,10028-1,796540.00,CENTRAL VIRGINIA WASTE MANAGEMENT AUTHORITY,Cooperative Agreement,"Cooperative / Services - Non Professional and Non Technology / Department of Public Works / Household Hazardous Waste Event Staging, Collection / No additional terms.","Non Professional Services, Non Technology",07/01/2009 12:00:00 AM,06/30/2024 12:00:00 AM
Public Works,10093-1,1567393.08,JOHNSON MIRMIRAN AND THOMPSON,Request for Proposal,RFP/Service/DPW/DESIGN PROFESSIONAL SERVICES COMMERCE ROAD IMPROVEMENTS/Term 1 of 1/10093-1,Professional Services,10/27/2011 12:00:00 AM,07/11/2023 12:00:00 AM
Information Technology,10243O-1,3655062.23,ORACLE AMERICA INC,Request for Proposal,ENTERPRISE RESOURCE PLANNING (ERP) HOSTING ORACLE ON DEMAND. Extension to 2/23/2021,"Non Professional Services, Technology",02/24/2020 12:00:00 AM,02/23/2022 12:00:00 AM
Public Works,11164-1,53716257.32,SP PLUS CORPORATION,Request for Proposal,Emergency Procurement Memo,"Non Professional Services, Non Technology",01/01/2012 12:00:00 AM,12/31/2021 12:00:00 AM
Emergency Communication,14000000301,2123889.52,INTERGRAPH CORPORATION,Agency Request,COMPUTER-AIDED DISPATCH (CAD) SYSTEM UPGRADE/ Term 7 of 10,"Non Professional Services, Technology",08/01/2020 12:00:00 AM,07/31/2021 12:00:00 AM
Planning & Development Review,14000002788,202387.93,ENERGYCAP INC,Request for Proposal,SUST/Energy Accounting Information System/Term 5 of 5/11092-1SF,"Supplies, Technology",01/26/2011 12:00:00 AM,12/31/2021 12:00:00 AM
Planning & Development Review,14000005903,1506856.00,Hargreaves Associates - INACTIVE,Request for Proposal,"Richmond Riverfront Plan Priority 1 Implementation - Architectural, Engineering and Landscape Design Services/Term 1 of 1/13115-1",Professional Services,09/17/2013 12:00:00 AM,09/16/2023 12:00:00 AM
Finance,14000007071,13500.00,VIRGINIA INTERACTIVE LLC,Cooperative Agreement,COOP/Services/Payment Processing & applications (ALM Tax Payment)/226134,"Non Professional Services, Technology",10/01/2013 12:00:00 AM,12/29/2023 12:00:00 AM
Emergency Communication,14000012282,4471228.00,ALTAIRIS TECHNOLOGY PARTNERS,Request for Proposal,Consulting Services for Radio Communication System -Regional Project,"Non Professional Services, Non Technology",12/11/2013 12:00:00 AM,06/30/2026 12:00:00 AM
Public Works,14000017838,945000.00,Clancy Systems International Inc. - INACTIVE,Request for Proposal,"Requisition #210007243; Emergency Extension No. 2; February 18, 2021 - July 1, 2021; Parking Citation Issuance and Processing Software/Term 5 of 5/13083-1","Non Professional Services, Technology",03/10/2014 12:00:00 AM,07/01/2021 12:00:00 AM
Public Utilities,14000019306,16996099.26,ENGLISH CONSTRUCTION CO INC,Invitation to Bid,IFB/Construction/DPU/WTP Sedimentation Basin Improvements/Term 1 of 1,Construction - Capital/Non-Capital,05/29/2014 12:00:00 AM,01/01/2022 12:00:00 AM
Public Utilities,14000025252,521379.40,CHA CONSULTING INC,Request for Proposal,IFB / Professional Services / Department of Public Works / Modern Green High-Efficiency HVAC Study / Initial term One (1) year with Two (2) - One (1) year renewals.,"Non Professional Services, Non Technology",06/12/2014 12:00:00 AM,09/30/2025 12:00:00 AM
Planning & Development Review,15000003135,2823963.91,"TYLER TECHNOLOGIES, INC",Request for Proposal,RFP / Services - Technology / Department of Planning and Developemnt / Land Use Tracking System / initial Term of One (1) year with Ten (10 - One (1) year renewals and extension.,Commodity,06/07/2020 12:00:00 AM,06/06/2026 12:00:00 AM
Public Works,15000003273,3765659.39,JOHNSON MIRMIRAN AND THOMPSON,Request for Proposal,RFP/Service/DPW/Hull Street Corridor Improvements/Term 1 of 1/13160-1 36 months extension,Construction - Term,07/12/2019 12:00:00 AM,12/31/2024 12:00:00 AM
Planning & Development Review,15000004354,798907.78,COLOR-AD INC - INACTIVE,Invitation to Bid,"IFB #J140027005/Construction, wayfinding Signage / No additional terms.",Construction - Capital/Non-Capital,09/15/2014 12:00:00 AM,10/25/2023 12:00:00 AM
Public Utilities,15000005188,3700000.00,HEATH CONSULTANTS INC,Request for Proposal,RFP / Services / Department of Public Utilities / Natural Gas Leakage Survey / Initial Term One (1) year with Five (5) - One (1) year renewals and extension.,Professional Services,09/19/2014 12:00:00 AM,12/15/2021 12:00:00 AM
Finance,15000008433,1600000.00,WELLS FARGO BANK,Request for Proposal,/COMMERCIAL BANKING SERVICES/ 3 OF 3/F13169-1,"Non Professional Services, Non Technology",10/22/2014 12:00:00 AM,09/29/2021 12:00:00 AM
Public Utilities,15000017814,695452.63,PRYOR HAULING INC,Request for Proposal,Annual Building Demolition and Stabilization Construction Services/Term 3 of 3/150010903 extended 1 year 2021,Construction - Term,04/01/2015 12:00:00 AM,03/31/2021 12:00:00 AM
Planning & Development Review,15000017815,695452.63,SB COX INC,Request for Proposal,RFP #150010903 / Construction / Planning & Development Review / Annual Building Demolition and Stabilization Construction Services / Term One (1) year contract extension no 3,Construction - Capital/Non-Capital,04/01/2020 12:00:00 AM,03/31/2021 12:00:00 AM
Public Utilities,15000019310,10500000.00,G.L. HOWARD INC,Invitation to Bid,/Annual Sewer Repair and Replacement Services(Small Diameter Pipe) - Sewer Maintenance Crew Support/ Term 3 of 4,"Non Professional Services, Non Technology",04/10/2015 12:00:00 AM,03/26/2021 12:00:00 AM
Public Utilities,15000019343,15400000.00,POSSIE B CHENAULT INC,Invitation to Bid,IFB #150016030 / Annual Construction Contract / Department of Public Works / Annual Sewer Repair and Replacement Services(Small Diameter Pipe) Sewer Maintenance Crew Support / Final Term Four (4) of Four (4) - One (1) year renewals.,"Non Professional Services, Non Technology",05/01/2015 12:00:00 AM,03/25/2021 12:00:00 AM
Public Utilities,15000020048,8000000.00,POSSIE B CHENAULT INC,Invitation to Bid,Stormwater Annual Services Contract/Term 5 of 5/150016620,"Non Professional Services, Non Technology",04/27/2015 12:00:00 AM,04/10/2021 12:00:00 AM
Public Utilities,15000020050,7500000.00,MESSER CONTRACTING LLC,Invitation to Bid,Stormwater Annual Services Contract/Term 5 of 5,"Non Professional Services, Non Technology",04/27/2015 12:00:00 AM,04/10/2021 12:00:00 AM
Public Utilities,15000020515,11000000.00,G.L. HOWARD INC,Invitation to Bid,Eff. To extended from 4/27 to 5/5 to allow payment of invoices. Annual Sewer Repair and Replacement Services(Large Diameter Pipe) - Sewer Maintenance Crew Support/ Term 3 of 4.,"Non Professional Services, Non Technology",04/28/2015 12:00:00 AM,05/10/2021 12:00:00 AM
Public Utilities,15000020523,3873572.00,E-MERGE SYSTEMS LLC,Request for Proposal,SCADA Upgrade Project WTP/Term-4.29.2015 to completion,"Non Professional Services, Non Technology",04/29/2015 12:00:00 AM,09/30/2021 12:00:00 AM
Public Works,15000022538,1920816.00,RONALD A WORLEY,Request for Proposal,RFP / Professional Service / Department of Pubic Works / / Design Phase Services for Southside Community Center - Design and Construction Administration,Professional Services,06/04/2015 12:00:00 AM,07/01/2025 12:00:00 AM
Public Works,15000024986,817950.00,AZTECA SYSTEMS INC - INACTIVE,Agency Request,#15000024986 / Management Software / Department of Public Works and Department of Public Utilities / 1 Year Only - Emergency Extension / Requisition #200016917,"Non Professional Services, Technology",06/30/2020 12:00:00 AM,06/30/2022 12:00:00 AM
Public Works,16000005101,260000.00,BINSWANGER HOLDING CORPORATION,Invitation to Bid,IFB/COMMODITY/DPW/Automotive glass and allied parts for windshield repair/ Extension - 9/11/2020 to 3/10/2021,"Supplies, Non Technology",09/11/2015 12:00:00 AM,03/10/2021 12:00:00 AM
Public Works,16000005292,5100000.00,VENTURE ELECTRIC CO,Invitation to Bid,CLOSE Out 7/19/2022: Annual Traffic Operations and Maintenance,"Non Professional Services, Non Technology",09/11/2015 12:00:00 AM,09/09/2022 12:00:00 AM
Finance,16000005459,159000.00,Robinson Farmer Cox Assoc. - INACTIVE,Request for Proposal,Cost Allocation Services/180 day extension,Professional Services,09/16/2015 12:00:00 AM,03/15/2021 12:00:00 AM
City Council,16000006136,382725.50,VPM Media Corp,Agency Request,Public Broadcasting for City Council/Term 5 of 5,"Non Professional Services, Non Technology",10/06/2015 12:00:00 AM,09/27/2021 12:00:00 AM
Human Resources,16000006404,0.00,CIGNA HEALTHCARE,Request for Proposal,"Group Dental Insurance Benefit & Plan Administration Emergency Extension Through December 31, 2023","Non Professional Services, Non Technology",11/12/2019 12:00:00 AM,12/31/2023 12:00:00 AM
Public Works,16000009631,0.00,ARAMARK SERVICES INC,Invitation to Bid,IFB/Services/DPW/Vending Machine and Concessions/Term 3 of 3/160003080,"Non Professional Services, Non Technology",11/18/2015 12:00:00 AM,11/18/2022 12:00:00 AM
Public Works,16000013531,22977569.00,GENUINE PARTS COMPANY,Request for Proposal,RFP / Supplies - Non - Technology/Department of Public Works / On Site Turn Key Parts / Initial Term of Two (2) years with Two (2) year renewals and extension. Emergency Extension No. 2 (3/29/23 - 3/28/2024),"Supplies, Non Technology",01/31/2016 12:00:00 AM,09/24/2024 12:00:00 AM
Public Works,16000014191,6003251.35,Bewegen Technologies inc,Request for Proposal,Public Bicycle Sharing System/five (5) years with one (1) - five (5) year renewal option/Requisition 150023599,"Non Professional Services, Non Technology",02/01/2016 12:00:00 AM,08/28/2023 12:00:00 AM
Public Utilities,16000014542,3090348.70,Hitachi Energy USA Inc,Agency Request,"Sole Source / Serices - Technology / Department of Public Utilities / Advantex Software Upgrade, Maintenance and Support, and Upgrade Implementation Services / Initial Term of One (1) year with Six (6) - One (1) year renrewals.","Non Professional Services, Technology",01/29/2016 12:00:00 AM,01/27/2027 12:00:00 AM
Public Utilities,16000014956,285000.00,Stone Brewing Co. LLC,Invitation to Bid,IFB / Goods & Services / Department of Public Works / Alternate Carbon Source / Second 180 day extension,Commodity,02/19/2016 12:00:00 AM,02/14/2022 12:00:00 AM
Public Works,16000016618,19418543.31,AECOM Technical Services,Request for Proposal,RFP / Services - Non Professional & Non Technology / Department of Public Works / Program Management Services / Initial term of One (1) year with Five (5) - One (1) year renewals and extension.,"Non Professional Services, Non Technology",03/15/2016 12:00:00 AM,03/14/2024 12:00:00 AM
Emergency Communication,16000017287,4096391.82,MOTOROLA SOLUTIONS INC,Agency Request,"Motorola Maintenance Agreement/Sole source extension: 5-year extension 2023-2028, with 1, 5-year renewal option","Non Professional Services, Technology",03/09/2016 12:00:00 AM,03/08/2028 12:00:00 AM
Public Utilities,16000021445,19597810.75,Tidewater Utility Construction,Invitation to Bid,Annual Sewer Repair and Replacement/Term 3 of 5,"Non Professional Services, Non Technology",05/19/2016 12:00:00 AM,05/31/2021 12:00:00 AM
Information Technology,16000023500,5243859.40,DELL MARKETING LP,Cooperative Agreement,Coop/Commodity/DIT/VA-190822-DELL/Hardware & Maintenance-DELL,Equipment - Technology,04/01/2017 12:00:00 AM,08/21/2024 12:00:00 AM
"Registrar, Voter",17000001253,45035.00,KNOWiNK LLC - INACTIVE,Agency Request,Poll Pad System and Related Software Identical to the System certified by the Virginia Board of Elections/Term 4 of 5,"Non Professional Services, Technology",06/07/2016 12:00:00 AM,07/10/2022 12:00:00 AM
City Wide,17000002075,10000000.00,COMPUTER AID INC,Cooperative Agreement,"Cooperative Contact V1300620 / Technology / City Wide Contact / Services for Computer Information Systems / Contract Agreement Modification Extension December 30, 2021.","Non Professional Services, Technology",07/22/2016 12:00:00 AM,12/30/2021 12:00:00 AM
Human Resources,17000002993,80000000.00,CIGNA HEALTHCARE,Request for Proposal,RFP / Joint Health Care Services / School Board of the City or Richmond / Joint Health Care Program / Initial Term of one (1) year with four (4) - one (1) year renewals and one extension / Currently in Extension #1 for 364 Days,"Non Professional Services, Non Technology",10/04/2016 12:00:00 AM,12/30/2022 12:00:00 AM
Public Utilities,17000005043,41400000.00,ConocoPhillips Comapny - INACTIVE,Request for Proposal,Natural Gas Supply/Term 1 of 4/140001169,Commodity,09/23/2016 12:00:00 AM,09/30/2021 12:00:00 AM
Economic Development,17000005905,2509486.66,SmithGroupJJR Inc - INACTIVE,Request for Proposal,"Contract terminated per attached letter dated June 5, 2023. Lumpkin's Jail Site - Architecture, Engineering, Museum Development and Archaeological Consulting Services/Term 1 of 1/160015533",Professional Services,10/10/2016 12:00:00 AM,12/31/2021 12:00:00 AM
Public Utilities,17000006212,10000000.00,GREELEY AND HANSEN LLC,Request for Proposal,"RFP / Professional Services / Department of Public Utilities / Water,Wastewater, and Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals.",Professional Services,10/25/2016 12:00:00 AM,10/24/2021 12:00:00 AM
Public Utilities,17000006529,5550000.00,WHITMAN REQUARDT AND ASSOC,Request for Proposal,"TO BE CLOSED 2-25-22 - NO FURTHER RENEWALS Water, Wastewater, and Stormwater Utility Engineering Services, Term 5 of 5/H160005482- Water Only",Professional Services,10/31/2016 12:00:00 AM,02/25/2022 12:00:00 AM
Public Utilities,17000006698,5000000.00,GFT Infrastructure,Request for Proposal,"Water,Wastewater, and Stormwater Utility Engineering Services, Term 3 of 5/H160005482 -Water Only",Professional Services,10/25/2016 12:00:00 AM,10/24/2021 12:00:00 AM
Public Utilities,17000006735,15000000.00,GREELEY AND HANSEN LLC,Request for Proposal,"Water,Wastewater, and Stormwater Utility Engineering Services, Term 5 of 5/H160005482 -Wastewater Only",Professional Services,10/25/2016 12:00:00 AM,10/24/2021 12:00:00 AM
Public Utilities,17000006746,5000000.00,RUMMEL KLEPPER AND KAHL LLP,Request for Proposal,"RFP / Professional Services / Department of Public Utilities / Water, Wastewater and Storm Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals.",Professional Services,10/25/2016 12:00:00 AM,10/24/2021 12:00:00 AM
Public Utilities,17000006747,5000000.00,RUMMEL KLEPPER AND KAHL LLP,Request for Proposal,"RFP / Professional Services / Department of Public Utilities / Water,Wastewater, and Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year extensions.",Professional Services,10/25/2016 12:00:00 AM,12/24/2021 12:00:00 AM
Public Utilities,17000006750,5000000.00,DEWBERRY ENGINEERS INC,Request for Proposal,"Water,Wastewater, and Stormwater Utility Engineering Services, Term 1 of 5/H160005482 -Wastewater Only",Professional Services,10/31/2016 12:00:00 AM,10/30/2021 12:00:00 AM
Public Utilities,17000006757,5000000.00,JOHNSON MIRMIRAN AND THOMPSON,Request for Proposal,"Water,Wastewater, and Stormwater Utility Engineering Services, Term 3 of 5/H160005482 -Wastewater Only",Professional Services,01/20/2017 12:00:00 AM,01/19/2022 12:00:00 AM
Public Utilities,17000006758,5000000.00,Hazen and Sawyer D.P.C.,Request for Proposal,"Water,Wastewater, and Stormwater Utility Engineering Services, Term 2 of 5/H160005482 -Stormwater Only",Professional Services,11/08/2019 12:00:00 AM,11/07/2021 12:00:00 AM
